epoch,global_step,loss,lr
1,0,0.006309,1.00e-04
1,0,0.271761,1.00e-04
1,0,0.151272,1.00e-04
1,1,0.190540,1.00e-04
1,1,0.065803,1.00e-04
1,1,0.002478,1.00e-04
1,1,0.003403,1.00e-04
1,2,0.028616,1.00e-04
1,2,0.030916,1.00e-04
1,2,0.255973,1.00e-04
1,2,0.009977,1.00e-04
1,3,0.324354,1.00e-04
1,3,0.021489,1.00e-04
1,3,0.212550,1.00e-04
1,3,0.060698,1.00e-04
1,4,0.195426,1.00e-04
1,4,0.007527,1.00e-04
1,4,0.001802,1.00e-04
1,4,0.330804,1.00e-04
1,5,0.090137,1.00e-04
1,5,0.145968,1.00e-04
1,5,0.053305,1.00e-04
1,5,0.233940,1.00e-04
1,6,0.096622,1.00e-04
1,6,0.109265,1.00e-04
1,6,0.070150,1.00e-04
1,6,0.159185,1.00e-04
1,7,0.024781,1.00e-04
1,7,0.296124,1.00e-04
1,7,0.005135,1.00e-04
1,7,0.002144,1.00e-04
1,8,0.139594,1.00e-04
1,8,0.556893,1.00e-04
1,8,0.208500,1.00e-04
1,8,0.055792,1.00e-04
1,9,0.003091,1.00e-04
1,9,0.347768,1.00e-04
1,9,0.002114,1.00e-04
1,9,0.320027,1.00e-04
1,10,0.269564,1.00e-04
1,10,0.532006,1.00e-04
1,10,0.384428,1.00e-04
1,10,0.203965,1.00e-04
1,11,0.018860,1.00e-04
1,11,0.328387,1.00e-04
1,11,0.003040,1.00e-04
1,11,0.195671,1.00e-04
1,12,0.092836,1.00e-04
1,12,0.224563,1.00e-04
1,12,0.119916,1.00e-04
1,12,0.187480,1.00e-04
1,13,0.329106,1.00e-04
1,13,0.062154,1.00e-04
1,13,0.047433,1.00e-04
1,13,0.006138,1.00e-04
1,14,0.029281,1.00e-04
1,14,0.014357,1.00e-04
1,14,0.015092,1.00e-04
1,14,0.270542,1.00e-04
1,15,0.133118,1.00e-04
1,15,0.069528,1.00e-04
1,15,0.294395,1.00e-04
1,15,0.003612,1.00e-04
1,16,0.220628,1.00e-04
1,16,0.136975,1.00e-04
1,16,0.016140,1.00e-04
1,16,0.016540,1.00e-04
1,17,0.526763,1.00e-04
1,17,0.007659,1.00e-04
1,17,0.016444,1.00e-04
1,17,0.109290,1.00e-04
1,18,0.087128,1.00e-04
1,18,0.379107,1.00e-04
1,18,0.303061,1.00e-04
1,18,0.087636,1.00e-04
1,19,0.005093,1.00e-04
1,19,0.062255,1.00e-04
1,19,0.036662,1.00e-04
1,19,0.004208,1.00e-04
1,20,0.075380,1.00e-04
1,20,0.068280,1.00e-04
1,20,0.028607,1.00e-04
1,20,0.032170,1.00e-04
1,21,0.459759,1.00e-04
1,21,0.109067,1.00e-04
1,21,0.164109,1.00e-04
1,21,0.128773,1.00e-04
1,22,0.738558,1.00e-04
1,22,0.009395,1.00e-04
1,22,0.079270,1.00e-04
1,22,0.197564,1.00e-04
1,23,0.226352,1.00e-04
1,23,0.015648,1.00e-04
1,23,0.222877,1.00e-04
1,23,0.102096,1.00e-04
1,24,0.070743,1.00e-04
1,24,0.281156,1.00e-04
1,24,0.004913,1.00e-04
1,24,0.006974,1.00e-04
1,25,0.042859,1.00e-04
1,25,0.004358,1.00e-04
1,25,0.058963,1.00e-04
1,25,0.012798,1.00e-04
1,26,0.008114,1.00e-04
1,26,0.047795,1.00e-04
1,26,0.022667,1.00e-04
1,26,0.012826,1.00e-04
1,27,0.023366,1.00e-04
1,27,0.297753,1.00e-04
1,27,0.034318,1.00e-04
1,27,0.125901,1.00e-04
1,28,0.007694,1.00e-04
1,28,0.029022,1.00e-04
1,28,0.142523,1.00e-04
1,28,0.010574,1.00e-04
1,29,0.106749,1.00e-04
1,29,0.402287,1.00e-04
1,29,0.227963,1.00e-04
1,29,0.047511,1.00e-04
1,30,0.045147,1.00e-04
1,30,0.008144,1.00e-04
1,30,0.002345,1.00e-04
1,30,0.076980,1.00e-04
1,31,0.152930,1.00e-04
1,31,0.010068,1.00e-04
1,31,0.022303,1.00e-04
1,31,0.009136,1.00e-04
1,32,0.020163,1.00e-04
1,32,0.120931,1.00e-04
1,32,0.276632,1.00e-04
1,32,0.233082,1.00e-04
1,33,0.010578,1.00e-04
1,33,0.023251,1.00e-04
1,33,0.065724,1.00e-04
1,33,0.002568,1.00e-04
1,34,0.329853,1.00e-04
1,34,0.004128,1.00e-04
1,34,0.128223,1.00e-04
1,34,0.044206,1.00e-04
1,35,0.010754,1.00e-04
1,35,0.161856,1.00e-04
1,35,0.045554,1.00e-04
1,35,0.001669,1.00e-04
1,36,0.053886,1.00e-04
1,36,0.023586,1.00e-04
1,36,0.008842,1.00e-04
1,36,0.014870,1.00e-04
1,37,0.318079,1.00e-04
1,37,0.015326,1.00e-04
1,37,0.353131,1.00e-04
1,37,0.033835,1.00e-04
1,38,0.012555,1.00e-04
1,38,0.119345,1.00e-04
1,38,0.156385,1.00e-04
1,38,0.321797,1.00e-04
1,39,0.008766,1.00e-04
1,39,0.070729,1.00e-04
1,39,0.035852,1.00e-04
1,39,0.002503,1.00e-04
1,40,0.012148,1.00e-04
1,40,0.146401,1.00e-04
1,40,0.005183,1.00e-04
1,40,0.295350,1.00e-04
1,41,0.215497,1.00e-04
1,41,0.565682,1.00e-04
1,41,0.004454,1.00e-04
1,41,0.073341,1.00e-04
1,42,0.299475,1.00e-04
1,42,0.005936,1.00e-04
1,42,0.083145,1.00e-04
1,42,0.107056,1.00e-04
1,43,0.292188,1.00e-04
1,43,0.017060,1.00e-04
1,43,0.374840,1.00e-04
1,43,0.056879,1.00e-04
1,44,0.033791,1.00e-04
1,44,0.216563,1.00e-04
1,44,0.013307,1.00e-04
1,44,0.076753,1.00e-04
1,45,0.007565,1.00e-04
1,45,0.067247,1.00e-04
1,45,0.023566,1.00e-04
1,45,0.027621,1.00e-04
1,46,0.057938,1.00e-04
1,46,0.241447,1.00e-04
1,46,0.397250,1.00e-04
1,46,0.004557,1.00e-04
1,47,0.246864,1.00e-04
1,47,0.175416,1.00e-04
1,47,0.062898,1.00e-04
1,47,0.081404,1.00e-04
1,48,0.147516,1.00e-04
1,48,0.001694,1.00e-04
1,48,0.248892,1.00e-04
1,48,0.030319,1.00e-04
1,49,0.055165,1.00e-04
1,49,0.009028,1.00e-04
1,49,0.011829,1.00e-04
1,49,0.438207,1.00e-04
1,50,0.397080,1.00e-04
1,50,0.040545,1.00e-04
1,50,0.088216,1.00e-04
1,50,0.138658,1.00e-04
1,51,0.103634,1.00e-04
1,51,0.008922,1.00e-04
1,51,0.045573,1.00e-04
1,51,0.022097,1.00e-04
1,52,0.006722,1.00e-04
